epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,19517.7,0.26521,0.21165,1.35345,0.96308,0.96438,0.98159,0.92305,0.37815,0.27704,1.49799,0.000251623,0.000251623,0.000251623
109,19663.5,0.26257,0.2097,1.36436,0.96858,0.95987,0.97908,0.91886,0.38051,0.27421,1.49567,0.000244049,0.000244049,0.000244049
110,19842.5,0.26466,0.21064,1.33454,0.97432,0.95047,0.98117,0.92332,0.3835,0.27606,1.5072,0.000237062,0.000237062,0.000237062
111,20021.9,0.22904,0.17859,1.33455,0.96818,0.94229,0.97988,0.92287,0.38127,0.28269,1.4995,0.000230667,0.000230667,0.000230667
112,20208.4,0.22628,0.17835,1.33019,0.96562,0.95723,0.98012,0.92178,0.3809,0.27596,1.50067,0.000224867,0.000224867,0.000224867
113,20385,0.22205,0.17624,1.32863,0.96803,0.95664,0.98099,0.92405,0.3826,0.27263,1.50329,0.000219667,0.000219667,0.000219667
114,20570.3,0.2195,0.17374,1.31151,0.97737,0.94833,0.98057,0.92463,0.3799,0.27845,1.49509,0.000215071,0.000215071,0.000215071
115,20747.1,0.21995,0.17382,1.32959,0.97522,0.95242,0.98013,0.92475,0.376,0.27032,1.49806,0.00021108,0.00021108,0.00021108
116,20927.6,0.21923,0.17311,1.31519,0.96991,0.95668,0.97975,0.92188,0.37948,0.27438,1.50076,0.0002077,0.0002077,0.0002077
117,21102.5,0.2177,0.17156,1.31283,0.9711,0.95252,0.97896,0.92108,0.37888,0.27612,1.50047,0.00020493,0.00020493,0.00020493
118,21283.3,0.21721,0.17373,1.31668,0.97126,0.95051,0.97896,0.92293,0.37669,0.27986,1.49971,0.000202774,0.000202774,0.000202774
119,21451.9,0.21417,0.16974,1.30351,0.97458,0.95734,0.98013,0.92246,0.38019,0.27878,1.50429,0.000201233,0.000201233,0.000201233
120,21629.8,0.21295,0.16942,1.31663,0.9737,0.9555,0.97954,0.92084,0.3807,0.27164,1.51009,0.000200308,0.000200308,0.000200308
